fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,baseline,,3.2249834947288036,244293,0.013201293097750666
1,baseline,,2.8701703771948814,241026,0.011908135957095422
2,baseline,,2.777578141540289,238073,0.011666917884599635
3,baseline,,2.7629554625600576,237073,0.011654450159065173
4,baseline,,2.8398081231862307,240047,0.011830217095761375
5,baseline,,2.8386820033192635,238912,0.011881705411696622
6,baseline,,2.838210156187415,238990,0.011875853199662811
7,baseline,,2.88359865732491,240832,0.011973486319612469
8,baseline,,2.8066031131893396,236892,0.011847606137773076
9,baseline,,2.8169901072978973,239360,0.011768842360034665
10,baseline,,2.706674501299858,230032,0.011766512925592344
